Index,OldId,Condition,TimePoint,SampleId
1,1,LPS,0,GSM73424
2,7,LPS,0,GSM73425
3,13,LPS,0,GSM73426
4,19,LPS,0,GSM73427
5,25,Placebo,0,GSM73429
6,31,Placebo,0,GSM73423
7,37,Placebo,0,GSM73428
8,43,Placebo,0,GSM73430
9,2,LPS,2,GSM73440
10,8,LPS,2,GSM73441
11,14,LPS,2,GSM73442
12,20,LPS,2,GSM73443
13,26,Placebo,2,GSM73445
14,32,Placebo,2,GSM73439
15,38,Placebo,2,GSM73444
16,44,Placebo,2,GSM73446
17,3,LPS,4,GSM73455
18,9,LPS,4,GSM73456
19,15,LPS,4,GSM73457
20,21,LPS,4,GSM73458
21,27,Placebo,4,GSM73460
22,39,Placebo,4,GSM73459
23,45,Placebo,4,GSM73461
24,4,LPS,6,GSM73469
25,10,LPS,6,GSM73470
26,16,LPS,6,GSM73471
27,22,LPS,6,GSM73472
28,28,Placebo,6,GSM73474
29,40,Placebo,6,GSM73473
30,46,Placebo,6,GSM73475
31,5,LPS,9,GSM73484
32,11,LPS,9,GSM73485
33,17,LPS,9,GSM73486
34,23,LPS,9,GSM73487
35,29,Placebo,9,GSM73489
36,35,Placebo,9,GSM73483
37,41,Placebo,9,GSM73488
38,47,Placebo,9,GSM73490
39,6,LPS,24,GSM73500
40,12,LPS,24,GSM73501
41,18,LPS,24,GSM73502
42,24,LPS,24,GSM73503
43,30,Placebo,24,GSM73505
44,36,Placebo,24,GSM73499
45,42,Placebo,24,GSM73504
46,48,Placebo,24,GSM73506
